city,station,pollutant_id,pollutant_avg,latitude,longitude,last_update
Rajgir,"Dangi Tola, Rajgir - BSPCB",CO,42,25.0328,85.41948,09-07-2026 21:00:00
Saharsa,"Police Line, Saharsa - BSPCB",PM2.5,,25.892357,86.590325,09-07-2026 21:00:00
Saharsa,"Police Line, Saharsa - BSPCB",OZONE,19,25.892357,86.590325,09-07-2026 21:00:00
Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",PM2.5,95,25.859655,85.77944,09-07-2026 21:00:00
Siwan,"Chitragupta Nagar, Siwan - BSPCB",CO,,26.2271665,84.3570427,09-07-2026 21:00:00
Chandigarh,"Sector-25, Chandigarh - CPCC",SO2,6,30.751462,76.762879,09-07-2026 21:00:00
Chandigarh,"Sector 22, Chandigarh - CPCC",NO2,8,30.735567,76.775714,09-07-2026 21:00:00
Chandigarh,"Sector-53, Chandigarh - CPCC",PM2.5,13,30.719859,76.738637,09-07-2026 21:00:00
Chandigarh,"Sector-53, Chandigarh - CPCC",PM10,13,30.719859,76.738637,09-07-2026 21:00:00
Bhilai,"32Bungalows, Bhilai - CECB",SO2,,21.194815,81.31477,09-07-2026 21:00:00
Bhilai,"32Bungalows, Bhilai - CECB",OZONE,23,21.194815,81.31477,09-07-2026 21:00:00
Bhilai,"Hathkhoj, Bhilai - CECB",PM2.5,43,21.224231,81.40835,09-07-2026 21:00:00
Chhal,"Nawapara SECL Colony, Chhal - CECB",PM10,37,22.118125,83.140608,09-07-2026 21:00:00
Chhal,"Nawapara SECL Colony, Chhal - CECB",NO2,6,22.118125,83.140608,09-07-2026 21:00:00
Nalbari,"Bata Chowk, Nalbari - PCBA",OZONE,19,26.446912,91.439057,09-07-2026 21:00:00
Silchar,"Tarapur, Silchar - PCBA",NH3,1,24.82827,92.79525,09-07-2026 21:00:00
Silchar,"Tarapur, Silchar - PCBA",SO2,6,24.82827,92.79525,09-07-2026 21:00:00
Silchar,"Tarapur, Silchar - PCBA",CO,35,24.82827,92.79525,09-07-2026 21:00:00
Araria,"Kharahiya Basti, Araria - BSPCB",CO,23,26.146529,87.454184,09-07-2026 21:00:00
