City,Population,Area,Density
Bhubaneshwar,46000,4,115.4
Pune,40000,3.6,109.82
Jaipur,170000,2.4,700.13
Surat,446780,8.8,509.47
Kochi,100000,7,142.92
Ahmedabad,82635,2.4,346.09
Jabalpur,41059,3,136.55
Viskhapatnam (Vijag),80000,6.7,119.81
Solapur,149831,4.2,356
Davangere,115702,3.2,364.21
Indore,120012,3,399.67
NDMC,48173,2.2,216.43
Coimbatore,225000,17,132.38
Kakinada,110577,5.6,198.72
Belagavi,83361,10.8,77.32
Udaipur,90220,3.4,269.25
Guwahati,65011,2.8,230.81
Chennai,226000,6.9,325.25
Ludhiana,35000,3.2,109.48
Bhopal,30496,1.3,226.98
Port Blair,108240,3.4,315.04
Bhagalpur,98450,2.5,396.86
Chandigarh,45000,5.1,87.9
Raipur,60550,3.1,192.56
Panaji,14134,2,70.7
Faridabad,37592,2.9,130.28
Dharamshala,27053,3.1,86.26
Ranchi,53878,1.4,390.43
Imphal,75717,2.2,345.84
Greater Warangal,39000,6.4,60.88
Agartala,185000,11.3,163.27
Lucknow,70000,3.3,212.76
New Town Kolkata,11107,3.9,28.59
Amritsar,361000,3.8,939
Jalandhar,58120,4.1,142.2
KalyanDombivali,264779,11.8,225.3
Ujjain,87776,4.1,212.02
Tirupati,112000,3,370.99
Nagpur,63000,3.8,163.7
Mangalore,111903,6.6,169.85
Vellore,117415,6.4,182.71
Thane,1041000,4.3,2404.08
Gwalior,102000,3.2,313.88
Agra,146400,9.1,160.78
Nashik,76865,3.7,207.13
Rourkela,68934,5,137.26
Kanpur,120000,6,201.03
Madurai,260877,5.3,493.98
Tumkur,42941,5.5,78.31
Ajmer,91454,6.2,148.09
Kota,115195,5.9,195.1
Thanjavur,35670,2.6,136.65
Namchi,9000,1.2,74.13
Shivamogga,83000,6.1,136.73
Salem,71295,2.5,288.81
Varanasi,400000,5.6,711.61
Kohima,26741,1.2,231.85
Hubli Dharwad,117000,4,291.44
Aurangabad,28777,0.9,305.19
Vadodara,103278,7.1,145.58
Tiruvanantapuram,53225,5.7,93.87
Rajkot,134258,3.8,357.07
Naya Raipur,2919,5.3,5.55
Amaravati,23072,4.2,55.35
Patna,38804,3.3,117.34
Karimnagar,58689,9.7,60.63
Muzaffarpur,45000,4,112.33
Puduchery,114239,5.9,192.32
Gandhinagar,34214,5.4,63.36
Srinagar,119172,4.8,249.84
Sagar,64319,3.7,175.26
Karnal,34532,2.9,118.67
Satna,55873,2.7,209.26
Bengaluru,524000,21.8,240.7
Shimla,18753,1,190
Dehradun,62000,3.5,175.14
Tirupppur,206511,11.3,182.43
Pimpri- Chinchwad,98828,5.5,178.39
Bilaspur,84111,4.2,199.79
Pasighat,15565,3.9,40.01
Jammu,57000,3.4,167.16
Dahod,32640,3.5,93.78
Tirunelveli,45513,3.7,124.35
Thoothukudi,118102,10.7,110.17
Tiruchirapalli,172000,7.1,243.28
Jhansi,108000,6.2,174.77
Aizawl,55649,3,184.88
Allahabad,150000,7.7,194.55
Aligarh,122230,5,244.46
Gangtok,29099,1.5,196.61
