Sl. No.,City,ABD Area (sq. km),ABD Population,ABD Population Density
1,Bhubaneshwar,4,46000,115.4
2,Pune,3.6,40000,109.82
3,Jaipur,2.4,170000,700.13
4,Surat,8.8,446780,509.47
5,Kochi,7,100000,142.92
6,Ahmedabad,2.4,82635,346.09
7,Jabalpur,3,41059,136.55
8,Viskhapatnam (Vijag),6.7,80000,119.81
9,Solapur,4.2,149831,356
10,Davangere,3.2,115702,364.21
11,Indore,3,120012,399.67
12,NDMC,2.2,48173,216.43
13,Coimbatore,17,225000,132.38
14,Kakinada,5.6,110577,198.72
15,Belagavi,10.8,83361,77.32
16,Udaipur,3.4,90220,269.25
17,Guwahati,2.8,65011,230.81
18,Chennai,6.9,226000,325.25
19,Ludhiana,3.2,35000,109.48
20,Bhopal,1.3,30496,226.98
21,Port Blair,3.4,108240,315.04
22,Bhagalpur,2.5,98450,396.86
23,Chandigarh,5.1,45000,87.9
24,Raipur,3.1,60550,192.56
25,Panaji,2,14134,70.7
26,Faridabad,2.9,37592,130.28
27,Dharamshala,3.1,27053,86.26
28,Ranchi,1.4,53878,390.43
29,Imphal,2.2,75717,345.84
30,Greater Warangal,6.4,39000,60.88
31,Agartala,11.3,185000,163.27
32,Lucknow,3.3,70000,212.76
33,New Town Kolkata,3.9,11107,28.59
34,Amritsar,3.8,361000,939
35,Jalandhar,4.1,58120,142.2
36,KalyanDombivali,11.8,264779,225.3
37,Ujjain,4.1,87776,212.02
38,Tirupati,3,112000,370.99
39,Nagpur,3.8,63000,163.7
40,Mangalore,6.6,111903,169.85
41,Vellore,6.4,117415,182.71
42,Thane,4.3,1041000,2404.08
43,Gwalior,3.2,102000,313.88
44,Agra,9.1,146400,160.78
45,Nashik,3.7,76865,207.13
46,Rourkela,5,68934,137.26
47,Kanpur,6,120000,201.03
48,Madurai,5.3,260877,493.98
49,Tumkur,5.5,42941,78.31
50,Ajmer,6.2,91454,148.09
51,Kota,5.9,115195,195.1
52,Thanjavur,2.6,35670,136.65
53,Namchi,1.2,9000,74.13
54,Shivamogga,6.1,83000,136.73
55,Salem,2.5,71295,288.81
56,Varanasi,5.6,400000,711.61
57,Kohima,1.2,26741,231.85
58,Hubli Dharwad,4,117000,291.44
59,Aurangabad,0.9,28777,305.19
60,Vadodara,7.1,103278,145.58
61,Tiruvanantapuram,5.7,53225,93.87
62,Rajkot,3.8,134258,357.07
63,Naya Raipur,5.3,2919,5.55
64,Amaravati,4.2,23072,55.35
65,Patna,3.3,38804,117.34
66,Karimnagar,9.7,58689,60.63
67,Muzaffarpur,4,45000,112.33
68,Puduchery,5.9,114239,192.32
69,Gandhinagar,5.4,34214,63.36
70,Srinagar,4.8,119172,249.84
71,Sagar,3.7,64319,175.26
72,Karnal,2.9,34532,118.67
73,Satna,2.7,55873,209.26
74,Bengaluru,21.8,524000,240.7
75,Shimla,1,18753,190
76,Dehradun,3.5,62000,175.14
77,Tirupppur,11.3,206511,182.43
78,Pimpri- Chinchwad,5.5,98828,178.39
79,Bilaspur,4.2,84111,199.79
80,Pasighat,3.9,15565,40.01
81,Jammu,3.4,57000,167.16
82,Dahod,3.5,32640,93.78
83,Tirunelveli,3.7,45513,124.35
84,Thoothukudi,10.7,118102,110.17
85,Tiruchirapalli,7.1,172000,243.28
86,Jhansi,6.2,108000,174.77
87,Aizawl,3,55649,184.88
88,Allahabad,7.7,150000,194.55
89,Aligarh,5,122230,244.46
90,Gangtok,1.5,29099,196.61
Total,Total,445.5,9926315,NA
Average,Average,4.95,110292,237.63
