city,state,station,latitude,longitude,pollution_date,year,month,quarter,season,pm25,pm10,no,no2,nox,nh3,co,so2,o3,benzene,toluene,xylene,aqi,aqi_bucket,source
Rajgir,,"Dangi Tola, Rajgir - BSPCB",25.0328,85.41948,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,55,51,,14,,3,42,3,24,,,,,,Realtime
Saharsa,,"Police Line, Saharsa - BSPCB",25.892357,86.590325,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,84,,7,,4,39,17,19,,,,,,Realtime
Samastipur,,"DM Office_Kasipur, Samastipur - BSPCB",25.859655,85.77944,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,95,79,,8,,1,1,19,14,,,,,,Realtime
Siwan,,"Chitragupta Nagar, Siwan - BSPCB",26.2271665,84.3570427,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,2,,1,,6,,,,,,,Realtime
Chandigarh,,"Sector-25, Chandigarh - CPCC",30.751462,76.762879,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,28,28,,10,,14,21,6,15,,,,,,Realtime
Chandigarh,,"Sector 22, Chandigarh - CPCC",30.735567,76.775714,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,19,20,,8,,12,41,4,5,,,,,,Realtime
Chandigarh,,"Sector-53, Chandigarh - CPCC",30.719859,76.738637,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,13,13,,30,,19,42,3,3,,,,,,Realtime
Bhilai,,"32Bungalows, Bhilai - CECB",21.194815,81.31477,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,4,,23,,,,,,Realtime
Bhilai,,"Hathkhoj, Bhilai - CECB",21.224231,81.40835,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,43,44,,15,,4,9,16,15,,,,,,Realtime
Chhal,,"Nawapara SECL Colony, Chhal - CECB",22.118125,83.140608,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,25,37,,6,,,20,9,45,,,,,,Realtime
Nalbari,,"Bata Chowk, Nalbari - PCBA",26.446912,91.439057,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,67,48,,14,,6,21,8,19,,,,,,Realtime
Silchar,,"Tarapur, Silchar - PCBA",24.82827,92.79525,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,32,48,,18,,1,35,6,2,,,,,,Realtime
Araria,,"Kharahiya Basti, Araria - BSPCB",26.146529,87.454184,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,68,73,,14,,5,23,7,10,,,,,,Realtime
Arrah,,"New DM Office, Arrah - BSPCB",25.5626095,84.663264,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,297,236,,7,,2,56,5,8,,,,,,Realtime
