city,population,area,density,population_category
Bhubaneshwar,46000,4,115.4,Small
Pune,40000,3.6,109.82,Small
Jaipur,170000,2.4,700.13,Small
Surat,446780,8.8,509.47,Small
Kochi,100000,7,142.92,Small
Ahmedabad,82635,2.4,346.09,Small
Jabalpur,41059,3,136.55,Small
Viskhapatnam (Vijag),80000,6.7,119.81,Small
Solapur,149831,4.2,356,Small
Davangere,115702,3.2,364.21,Small
Indore,120012,3,399.67,Small
NDMC,48173,2.2,216.43,Small
Coimbatore,225000,17,132.38,Small
Kakinada,110577,5.6,198.72,Small
Belagavi,83361,10.8,77.32,Small
Udaipur,90220,3.4,269.25,Small
Guwahati,65011,2.8,230.81,Small
Chennai,226000,6.9,325.25,Small
Ludhiana,35000,3.2,109.48,Small
Bhopal,30496,1.3,226.98,Small
Port Blair,108240,3.4,315.04,Small
Bhagalpur,98450,2.5,396.86,Small
Chandigarh,45000,5.1,87.9,Small
Raipur,60550,3.1,192.56,Small
Panaji,14134,2,70.7,Small
Faridabad,37592,2.9,130.28,Small
Dharamshala,27053,3.1,86.26,Small
Ranchi,53878,1.4,390.43,Small
Imphal,75717,2.2,345.84,Small
Greater Warangal,39000,6.4,60.88,Small
Agartala,185000,11.3,163.27,Small
Lucknow,70000,3.3,212.76,Small
New Town Kolkata,11107,3.9,28.59,Small
Amritsar,361000,3.8,939,Small
Jalandhar,58120,4.1,142.2,Small
KalyanDombivali,264779,11.8,225.3,Small
Ujjain,87776,4.1,212.02,Small
Tirupati,112000,3,370.99,Small
Nagpur,63000,3.8,163.7,Small
Mangalore,111903,6.6,169.85,Small
Vellore,117415,6.4,182.71,Small
Thane,1041000,4.3,2404.08,Medium
Gwalior,102000,3.2,313.88,Small
Agra,146400,9.1,160.78,Small
Nashik,76865,3.7,207.13,Small
Rourkela,68934,5,137.26,Small
Kanpur,120000,6,201.03,Small
Madurai,260877,5.3,493.98,Small
Tumkur,42941,5.5,78.31,Small
Ajmer,91454,6.2,148.09,Small
Kota,115195,5.9,195.1,Small
Thanjavur,35670,2.6,136.65,Small
Namchi,9000,1.2,74.13,Small
Shivamogga,83000,6.1,136.73,Small
Salem,71295,2.5,288.81,Small
Varanasi,400000,5.6,711.61,Small
Kohima,26741,1.2,231.85,Small
Hubli Dharwad,117000,4,291.44,Small
Aurangabad,28777,0.9,305.19,Small
Vadodara,103278,7.1,145.58,Small
Tiruvanantapuram,53225,5.7,93.87,Small
Rajkot,134258,3.8,357.07,Small
Naya Raipur,2919,5.3,5.55,Small
Amaravati,23072,4.2,55.35,Small
Patna,38804,3.3,117.34,Small
Karimnagar,58689,9.7,60.63,Small
Muzaffarpur,45000,4,112.33,Small
Puduchery,114239,5.9,192.32,Small
Gandhinagar,34214,5.4,63.36,Small
Srinagar,119172,4.8,249.84,Small
Sagar,64319,3.7,175.26,Small
Karnal,34532,2.9,118.67,Small
Satna,55873,2.7,209.26,Small
Bengaluru,524000,21.8,240.7,Small
Shimla,18753,1,190,Small
Dehradun,62000,3.5,175.14,Small
Tirupppur,206511,11.3,182.43,Small
Pimpri- Chinchwad,98828,5.5,178.39,Small
Bilaspur,84111,4.2,199.79,Small
Pasighat,15565,3.9,40.01,Small
Jammu,57000,3.4,167.16,Small
Dahod,32640,3.5,93.78,Small
Tirunelveli,45513,3.7,124.35,Small
Thoothukudi,118102,10.7,110.17,Small
Tiruchirapalli,172000,7.1,243.28,Small
Jhansi,108000,6.2,174.77,Small
Aizawl,55649,3,184.88,Small
Allahabad,150000,7.7,194.55,Small
Aligarh,122230,5,244.46,Small
Gangtok,29099,1.5,196.61,Small
